cont_classification_task_id,classification_task_id,input_assay_id,catalog_assay_id,catalog_task_id,assay_type,variance_quorum_OK,is_auxiliary,use_in_regression,is_binary,threshold,threshold_method,direction,training_quorum_OK,evaluation_quorum_OK,aggregation_weight,weight,num_total_actives,num_fold_min_actives,num_total_inactives,num_fold_min_inactives,n_tasks,retained_tasks,catalog_check_INFO
,99.0,120,,,OTHER,True,True,True,False,4.5,aux_low,high,False,False,0.0,,69.0,2.0,12.0,0.0,2.0,2.0,
39.0,100.0,120,,,OTHER,True,False,True,False,5.0,fixed_adaptive,high,True,False,0.0,0.5,52.0,0.0,30.0,0.0,2.0,2.0,
40.0,101.0,120,,,OTHER,True,True,True,False,5.5,aux_high,high,True,False,0.0,0.5,34.0,0.0,48.0,2.0,2.0,2.0,
,102.0,121,,,OTHER,True,True,True,False,7.16,aux_low,high,False,False,0.0,,37.0,0.0,18.0,0.0,1.0,1.0,
41.0,103.0,121,,,OTHER,True,False,True,False,7.66,median,high,True,False,0.0,1.0,28.0,0.0,27.0,0.0,1.0,1.0,
,104.0,121,,,OTHER,True,True,True,False,8.16,aux_high,high,False,False,0.0,,18.0,0.0,37.0,1.0,1.0,1.0,
42.0,105.0,123,,,OTHER,True,True,True,False,6.5,aux_low,high,True,False,0.0,0.5,45.0,2.0,29.0,1.0,2.0,2.0,
43.0,106.0,123,,,OTHER,True,False,True,False,7.0,fixed_adaptive,high,True,False,0.0,0.5,32.0,1.0,42.0,2.0,2.0,2.0,
,107.0,123,,,OTHER,True,True,True,False,7.5,aux_high,high,False,False,0.0,,18.0,1.0,56.0,3.0,2.0,2.0,
44.0,108.0,124,,,OTHER,True,True,True,False,5.5,aux_low,high,True,False,0.0,0.3333333333333333,105.0,11.0,46.0,0.0,3.0,3.0,
45.0,109.0,124,,,OTHER,True,False,True,False,6.0,fixed_adaptive,high,True,False,0.0,0.3333333333333333,68.0,10.0,83.0,1.0,3.0,3.0,
46.0,110.0,124,,,OTHER,True,True,True,False,6.5,aux_high,high,True,False,0.0,0.3333333333333333,36.0,3.0,115.0,6.0,3.0,3.0,
47.0,111.0,136,,,OTHER,True,True,True,False,5.5,aux_low,high,True,False,0.0,0.5,33.0,4.0,31.0,4.0,2.0,2.0,
48.0,112.0,136,,,OTHER,True,False,True,False,6.0,fixed_adaptive,high,True,False,0.0,0.5,26.0,3.0,38.0,5.0,2.0,2.0,
,113.0,136,,,OTHER,True,True,True,False,6.5,aux_high,high,False,False,0.0,,19.0,2.0,45.0,6.0,2.0,2.0,
,114.0,139,,,OTHER,True,True,True,False,5.79,aux_low,high,False,False,0.0,,36.0,0.0,18.0,0.0,1.0,1.0,
49.0,115.0,139,,,OTHER,True,False,True,False,6.29,median,high,True,False,0.0,1.0,27.0,0.0,27.0,1.0,1.0,1.0,
,116.0,139,,,OTHER,True,True,True,False,6.79,aux_high,high,False,False,0.0,,17.0,0.0,37.0,1.0,1.0,1.0,
50.0,117.0,141,,,OTHER,True,True,True,False,4.5,aux_low,high,True,True,0.0,0.3333333333333333,30326.0,5633.0,5482.0,963.0,3.0,3.0,
51.0,118.0,141,,,OTHER,True,False,True,False,5.0,fixed_adaptive,high,True,True,1.0,0.3333333333333333,14589.0,2674.0,21219.0,3922.0,3.0,3.0,
52.0,119.0,141,,,OTHER,True,True,True,False,5.5,aux_high,high,True,True,0.0,0.3333333333333333,8658.0,1553.0,27150.0,5043.0,3.0,3.0,
53.0,120.0,142,,,OTHER,True,True,True,False,5.5,aux_low,high,True,True,0.0,0.3333333333333333,217.0,31.0,296.0,42.0,3.0,3.0,
54.0,121.0,142,,,OTHER,True,False,True,False,6.0,fixed_adaptive,high,True,True,1.0,0.3333333333333333,143.0,14.0,370.0,50.0,3.0,3.0,
55.0,122.0,142,,,OTHER,True,True,True,False,6.5,aux_high,high,True,True,0.0,0.3333333333333333,103.0,12.0,410.0,58.0,3.0,3.0,
,123.0,143,,,OTHER,True,True,True,False,4.05,aux_low,high,False,False,0.0,,38943.0,6928.0,0.0,0.0,2.0,2.0,
56.0,124.0,143,,,OTHER,True,False,True,False,4.55,median,high,True,True,1.0,0.5,20108.0,3557.0,18835.0,3371.0,2.0,2.0,
57.0,125.0,143,,,OTHER,True,True,True,False,5.05,aux_high,high,True,True,0.0,0.5,3529.0,642.0,35414.0,6259.0,2.0,2.0,
58.0,126.0,144,,,OTHER,True,True,True,False,4.5,aux_low,high,True,False,0.0,0.3333333333333333,61.0,4.0,97.0,15.0,3.0,3.0,
59.0,127.0,144,,,OTHER,True,False,True,False,5.0,fixed_adaptive,high,True,False,0.0,0.3333333333333333,54.0,3.0,104.0,16.0,3.0,3.0,
60.0,128.0,144,,,OTHER,True,True,True,False,5.5,aux_high,high,True,False,0.0,0.3333333333333333,37.0,2.0,121.0,19.0,3.0,3.0,
61.0,129.0,145,,,OTHER,True,True,True,False,4.5,aux_low,high,True,False,0.0,0.3333333333333333,541.0,61.0,64.0,7.0,3.0,3.0,
62.0,130.0,145,,,OTHER,True,False,True,False,5.0,fixed_adaptive,high,True,True,1.0,0.3333333333333333,177.0,19.0,428.0,52.0,3.0,3.0,
63.0,131.0,145,,,OTHER,True,True,True,False,5.5,aux_high,high,True,False,0.0,0.3333333333333333,76.0,7.0,529.0,60.0,3.0,3.0,
,132.0,146,,,OTHER,True,True,True,False,4.5,aux_low,high,False,False,0.0,,130.0,18.0,0.0,0.0,2.0,2.0,
64.0,133.0,146,,,OTHER,True,False,True,False,5.0,fixed_adaptive,high,True,False,0.0,0.5,92.0,12.0,38.0,5.0,2.0,2.0,
65.0,134.0,146,,,OTHER,True,True,True,False,5.5,aux_high,high,True,False,0.0,0.5,35.0,3.0,95.0,13.0,2.0,2.0,
66.0,135.0,147,,,OTHER,True,True,True,False,4.5,aux_low,high,True,True,0.0,0.3333333333333333,43409.0,8076.0,5204.0,936.0,3.0,3.0,
67.0,136.0,147,,,OTHER,True,False,True,False,5.0,fixed_adaptive,high,True,True,1.0,0.3333333333333333,15453.0,2793.0,33160.0,6079.0,3.0,3.0,
68.0,137.0,147,,,OTHER,True,True,True,False,5.5,aux_high,high,True,True,0.0,0.3333333333333333,6450.0,1177.0,42163.0,7723.0,3.0,3.0,
,138.0,148,,,OTHER,True,True,True,False,4.2,aux_low,high,False,False,0.0,,74784.0,13599.0,21.0,0.0,2.0,2.0,
69.0,139.0,148,,,OTHER,True,False,True,False,4.7,fixed_adaptive,high,True,True,1.0,0.5,25961.0,4776.0,48844.0,8772.0,2.0,2.0,
70.0,140.0,148,,,OTHER,True,True,True,False,5.2,aux_high,high,True,True,0.0,0.5,8419.0,1483.0,66386.0,12064.0,2.0,2.0,
71.0,141.0,149,,,OTHER,True,True,True,False,4.2,aux_low,high,True,True,0.0,0.3333333333333333,770.0,149.0,895.0,159.0,3.0,3.0,
72.0,142.0,149,,,OTHER,True,False,True,False,4.7,fixed_adaptive,high,True,True,1.0,0.3333333333333333,416.0,63.0,1249.0,231.0,3.0,3.0,
73.0,143.0,149,,,OTHER,True,True,True,False,5.2,aux_high,high,True,True,0.0,0.3333333333333333,157.0,24.0,1508.0,281.0,3.0,3.0,
74.0,144.0,150,,,OTHER,True,True,True,False,4.5,aux_low,high,True,False,0.0,0.3333333333333333,32112.0,5826.0,65.0,8.0,3.0,3.0,
75.0,145.0,150,,,OTHER,True,False,True,False,5.0,fixed_adaptive,high,True,True,1.0,0.3333333333333333,16568.0,2958.0,15609.0,2882.0,3.0,3.0,
76.0,146.0,150,,,OTHER,True,True,True,False,5.5,aux_high,high,True,True,0.0,0.3333333333333333,5452.0,1013.0,26725.0,4827.0,3.0,3.0,
77.0,147.0,151,,,OTHER,True,True,True,False,4.5,aux_low,high,True,True,0.0,0.3333333333333333,4672.0,792.0,531.0,79.0,3.0,3.0,
78.0,148.0,151,,,OTHER,True,False,True,False,5.0,fixed_adaptive,high,True,True,1.0,0.3333333333333333,1708.0,297.0,3495.0,574.0,3.0,3.0,
79.0,149.0,151,,,OTHER,True,True,True,False,5.5,aux_high,high,True,True,0.0,0.3333333333333333,812.0,141.0,4391.0,722.0,3.0,3.0,
80.0,150.0,152,,,OTHER,True,True,True,False,4.2,aux_low,high,True,True,0.0,0.3333333333333333,41633.0,7712.0,246.0,40.0,3.0,3.0,
